City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,lushun,38.8,121.2667,297.27,79,66,4.09,CN,1720827491
216,colonia,50.9333,6.95,287.49,87,75,3.09,DE,1720827492
217,san patricio,28.017,-97.5169,305.12,62,91,5.22,US,1720827493
218,sandnessjoen,66.0217,12.6316,285.44,87,82,1.93,NO,1720827494
219,malvan,16.0667,73.4667,300.15,87,100,7.96,IN,1720827496
220,kourou,5.1552,-52.6478,298.18,85,59,2.07,GF,1720827497
221,midvagur,62.0511,-7.1939,283.61,100,100,3.09,FO,1720827498
222,hithadhoo,-0.6,73.0833,301.89,71,65,4.58,MV,1720827499
223,mejit,10.2753,170.8646,301.04,81,64,10.33,MH,1720827501
224,zliten,32.4674,14.5687,299.5,63,0,3.44,LY,1720827502
225,turpan,42.9333,89.1667,303.3,35,55,0.97,CN,1720827503
226,happy valley-goose bay,53.3168,-60.3315,302.32,24,75,4.63,CA,1720827504
227,dudinka,69.4058,86.1778,290.88,82,100,3.62,RU,1720827505
228,basco,20.4487,121.9702,303.3,74,71,6.2,PH,1720827508
229,olonkinbyen,70.9221,-8.7187,277.64,92,100,5.12,SJ,1720827509
230,khandyga,62.6667,135.6,299.18,46,19,1.91,RU,1720827511
231,dongdu,35.85,117.7,298.55,75,38,2.14,CN,1720827512
232,betare oya,5.6,14.0833,292.85,96,100,0.48,CM,1720827513
233,kontagora,10.3999,5.4695,296.78,85,26,2.02,NG,1720827514
234,timbuktu,16.7735,-3.0074,308.29,34,5,5.21,ML,1720827516
235,erenhot,43.6475,111.9767,297.78,45,93,3.43,CN,1720827517
236,queenstown,-31.8976,26.8753,280.71,54,9,1.66,ZA,1720827518
237,palapag,12.5458,125.1147,300.14,88,100,1.53,PH,1720827519
238,villa regina,-39.1,-67.0667,281.47,22,0,0.89,AR,1720827521
239,ash shatrah,31.4117,46.1742,312.11,15,5,11.39,IQ,1720827522
240,kisangani,0.5167,25.2,295.02,96,46,0.53,CD,1720827523
241,yendi,9.4427,-0.0099,297.34,89,94,2.85,GH,1720827524
242,ribeira brava,32.65,-17.0667,296.88,84,1,1.84,PT,1720827526
243,labasa,-16.4167,179.3833,297.24,84,100,4.77,FJ,1720827527
244,brisas de zicatela,15.8369,-97.0419,297.44,94,75,4.12,MX,1720827528
245,kobarid,46.2481,13.5772,295.49,96,75,1.47,SI,1720827529
246,ancud,-41.8697,-73.8203,279.07,89,37,1.87,CL,1720827531
247,puerto baquerizo moreno,-0.9,-89.6,294.56,82,95,5.32,EC,1720827532
248,pundong,-7.9522,110.3486,296.51,81,14,2.36,ID,1720827534
249,ugbokpo,7.6565,7.8664,296.16,95,97,3.08,NG,1720827536
250,santa marta,11.2408,-74.199,305.18,62,20,4.12,CO,1720827537
251,ust'-talovka,50.5493,81.85,291.21,85,8,1.39,KZ,1720827538
252,manokwari,-0.8667,134.0833,299.32,82,99,2.1,ID,1720827540
253,santiago de cao,-7.9589,-79.2392,290.22,94,100,6.69,PE,1720827541
254,kapuskasing,49.4169,-82.4331,301.2,57,100,4.12,CA,1720827542
255,sabang,5.8933,95.3214,301.63,76,97,9.56,ID,1720827545
256,nuestra senora del rosario de caa cati,-27.7507,-57.6207,280.01,76,6,3.29,AR,1720827546
257,namtsy,62.7161,129.6658,299.05,46,23,2.02,RU,1720827547
258,porto uniao,-26.2381,-51.0783,284.27,100,100,1.3,BR,1720827548
259,puerto armuelles,8.2833,-82.8667,302.09,82,72,2.24,PA,1720827550
260,ambalavao,-21.8333,46.9333,283.36,91,0,1.79,MG,1720827551
261,port augusta,-32.5,137.7667,285.2,78,1,1.13,AU,1720827552
262,horta,38.5333,-28.6333,295.94,92,81,3.13,PT,1720827553
263,fuglafjordur,62.244,-6.814,283.41,95,22,2.45,FO,1720827555
264,basavakalyan,17.8667,76.95,295.99,94,100,6.32,IN,1720827556
265,ulaangom,49.9811,92.0667,292.39,40,7,0.7,MN,1720827557
266,amarante do maranhao,-5.5667,-46.7422,298.4,38,99,1.32,BR,1720827558
267,benguela,-12.5763,13.4055,291.26,88,18,1.55,AO,1720827560
268,qarazhal,48.0078,70.7903,294.63,51,100,3.82,KZ,1720827561
269,sumbawanga,-7.9667,31.6167,285.44,39,7,1.35,TZ,1720827562
270,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,59,20,2.0,RU,1720827563
271,tshikapa,-6.4167,20.8,294.49,29,0,0.89,CD,1720827565
272,kirensk,57.7853,108.1119,293.31,94,98,1.84,RU,1720827566
273,ballina,-28.8667,153.5667,290.81,59,21,5.02,AU,1720827567
274,yaren,-0.5472,166.916,301.89,75,100,4.13,NR,1720827568
275,abingdon,51.6711,-1.2828,286.6,81,100,1.64,GB,1720827570
276,boundiali,9.5217,-6.4869,295.33,96,100,0.85,CI,1720827571
277,sitka,57.0531,-135.33,287.09,88,100,4.63,US,1720827572
278,askoy,60.4092,5.226,288.31,100,20,0.51,NO,1720827573
279,tomatlan,19.9333,-105.25,300.05,85,100,0.91,MX,1720827574
280,aljezur,37.3191,-8.8033,289.04,91,3,5.63,PT,1720827576
281,nemuro,43.3236,145.575,287.24,97,63,2.73,JP,1720827577
282,kingston,17.997,-76.7936,303.68,74,20,6.17,JM,1720827578
283,seneca falls,42.9106,-76.7966,299.14,89,19,2.31,US,1720827579
284,pohrebyshche,49.4864,29.2636,296.48,52,9,2.58,UA,1720827581
285,touros,-5.1989,-35.4608,297.17,84,44,7.1,BR,1720827582
286,qamdo,31.1667,97.2333,284.79,65,98,0.97,CN,1720827583
287,kashgar,39.4547,75.9797,295.71,40,20,2.0,CN,1720827584
288,bodden town,19.2833,-81.25,304.15,79,20,5.66,KY,1720827586
289,mildura,-34.2,142.15,281.52,93,4,3.26,AU,1720827587
290,noumea,-22.2763,166.4572,298.15,99,31,1.52,NC,1720827425
291,nantucket,41.2835,-70.0995,299.18,94,100,5.66,US,1720827589
292,shimoda,34.6667,138.95,299.35,81,100,2.54,JP,1720827590
293,mohgaon,21.65,78.7167,298.2,90,100,3.0,IN,1720827592
